"JOIN_NO","EXT_KEY"
"1251280","KEY"
"1251313","KEY"
"1251354","KEY"
"1251447","KEY"
"1251473","KEY"
"1251618","KEY"
"1251872","KEY"
"1251991","KEY"
"1252335","KEY"
"1252589","KEY"
"1252760","KEY"
"125298","KEY"
"1253003","KEY"
"125301","KEY"
"1253133","KEY"
"1253403","GROS"
"1253406","GROS"
"1253615","KEY"
"1253897","KEY"
"1254559","KEY"
"1255060","KEY"
"1255108","KEY"
"1255268","KEY"
"1255447","KEY"
"1256514","KEY"
"1256567","SPEZ"
"1256604","KEY"
"1257056","KEY"
"1257062","GKM"
"1257095","KEY"
"1257337","KEY"
"1257358","KEY"
"1257460","KEY"
"1257464","KEY"
"1258609","KEY"
"1258917","KEY"
"1259774","KEY"
"1260039","KEY"
"1260184","KEY"
"1261344","KEY"
"1261664","KEY"
"1261727","KEY"
"1261894","KEY"
"1262708","KEY"
"1262720","KEY"
"1263260","KEY"
"1263285","KEY"
"1263576","KEY"
"1263584","KEY"
"1263668","KEY"
"1264034","KEY"
"1264799","KEY"
"1264964","KEY"
"1265071","KEY"
"1265139","KEY"
"1265180","KEY"
"1265430","KEY"
"1265918","KEY"
"1265969","KEY"
"1265978","KEY"
"1266030","KEY"
"1266098","KEY"
"1266349","KEY"
"1266629","KEY"
"1266935","KEY"
"1267066","KEY"
"1267459","KEY"
"1267543","GROS"
"1267547","KEY"
"1267598","SPEZ"
"1268027","KEY"
"1268289","KEY"
"1268636","KEY"
"1268733","KEY"
"1269594","KEY"
"1269626","KEY"
"1269629","KEY"
"1269658","KEY"
"1269682","GKM"
"1269997","KEY"
"1270110","KEY"
"1270307","KEY"
"1270390","KEY"
"1270417","KEY"
"1270523","KEY"
"1270878","KEY"
"1270924","KEY"
"1271014","KEY"
"1271036","KEY"
"1271216","KEY"
"1271516","KEY"
"1271573","GROS"
"1271574","GROS"
"1272278","KEY"
"1272313","KEY"
"1272571","KEY"
"1272640","KEY"
"1272665","KEY"
"1272686","KEY"
"1272795","KEY"
"1272964","KEY"
"1272985","KEY"
"1273136","KEY"
"1273258","KEY"
"1273266","KEY"
"1273293","KEY"
"1273435","KEY"
"1273503","KEY"
"1273558","KEY"
"1273636","KEY"
"1273728","KEY"
"1273799","KEY"
"1273879","KEY"
"1273925","KEY"
"1274014","KEY"
"1274056","KEY"
"1274108","KEY"
"1274110","SPEZ"
"1274129","KEY"
"1274132","KEY"
"1274144","KEY"
"1274158","KEY"
"1274459","KEY"
"1274498","KEY"
"1274528","KEY"
"1274538","KEY"
"1274653","KEY"
"1274865","KEY"
"1275376","KEY"
"1275423","KEY"
"1275553","KEY"
"1275573","KEY"
"1275650","KEY"
"1275673","GKM"
"1276068","KEY"
"1276413","KEY"
"1276487","KEY"
"1276488","KEY"
"1276618","KEY"
"1276690","KEY"
"1277152","KEY"
